organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
ABMI,Zeller PIWO Density,1033-NE,2020-04-05 07:31:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-06 07:28:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,PIWO,Pileated Woodpecker,Aves,1,43.06,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-07 08:56:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-08 08:54:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,NONE,NONE,,,,,,,,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-09 07:21:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,9.10,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-09 07:21:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,22.65,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-09 07:21:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,28.83,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-11 08:46:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-12 07:14:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-12 08:44:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 07:11:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,12.15,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 08:41:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,57.48,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 08:41:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,22.80,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 08:41:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,36.61,Non-vocal,1,,false,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-14 08:39:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,NONE,NONE,,,,,,,,1881
ABMI,Zeller PIWO Density,1033-NE,2020-04-15 07:07:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-15 08:37:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-16 08:34:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-18 07:00:00,-118.755610,54.156841,60s None,New,Austin Zeller,NONE,NONE,,,,,,,,841
ABMI,Zeller PIWO Density,1033-NE,2020-04-19 06:57:00,-118.755610,54.156841,60s None,Transcribed,Michel Vorasane,NONE,NONE,,,,,,,,1881
ABMI,Zeller PIWO Density,1086-NE,2017-04-05 07:32:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-05 09:02:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-06 08:59:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-07 08:57:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-09 08:52:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-10 08:49:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-11 08:47:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-12 07:14:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-12 08:44:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-13 07:12:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-14 08:40:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-15 08:37:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-16 07:05:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-17 07:02:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-17 08:32:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-18 07:00:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
ABMI,Zeller PIWO Density,1086-NE,2017-04-19 06:58:00,-112.846855,53.474742,60s None,New,Not Assigned,NONE,NONE,,,,,,,,-1
