organization,location,recording_date,audio_length,scientific_name,window_start_time,window_end_time,confidence
ABMI,1033-NE,2020-04-05 07:31:00,600,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-06 07:28:00,600,Andigena nigrirostris,99.00,102.00,40.1
ABMI,1033-NE,2020-04-06 07:28:00,600,Poecile atricapillus,579.00,582.00,64.7
ABMI,1033-NE,2020-04-07 08:56:00,180,Megaceryle alcyon,21.00,24.00,60.0
ABMI,1033-NE,2020-04-08 08:54:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-09 07:21:00,600,Andigena nigrirostris,279.00,282.00,45.5
ABMI,1033-NE,2020-04-09 07:21:00,600,Megaceryle alcyon,279.00,282.00,45.3
ABMI,1033-NE,2020-04-09 07:21:00,600,Andigena nigrirostris,306.00,309.00,41.7
ABMI,1033-NE,2020-04-11 08:46:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-12 07:14:00,600,Botaurus stellaris,390.00,393.00,41.5
ABMI,1033-NE,2020-04-12 08:44:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-13 07:11:00,600,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-13 08:41:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-14 08:39:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-15 07:07:00,600,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-15 08:37:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-16 08:34:00,180,Andigena nigrirostris,9.00,12.00,41.7
ABMI,1033-NE,2020-04-18 07:00:00,600,*NOT GENERATED/FOUND*,,,
ABMI,1033-NE,2020-04-19 06:57:00,600,Bombycilla garrulus,351.00,354.00,51.3
ABMI,1086-NE,2017-04-05 07:32:00,600,Lophonetta specularioides,6.00,9.00,41.8
ABMI,1086-NE,2017-04-05 07:32:00,600,Sugomel nigrum,84.00,87.00,40.4
ABMI,1086-NE,2017-04-05 07:32:00,600,Emberiza cioides,234.00,237.00,40.7
ABMI,1086-NE,2017-04-05 09:02:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1086-NE,2017-04-06 08:59:00,180,Branta canadensis,24.00,27.00,49.7
ABMI,1086-NE,2017-04-06 08:59:00,180,Branta canadensis,27.00,30.00,46.4
ABMI,1086-NE,2017-04-06 08:59:00,180,Branta canadensis,36.00,39.00,51.6
ABMI,1086-NE,2017-04-06 08:59:00,180,Anas platyrhynchos,129.00,132.00,50.7
ABMI,1086-NE,2017-04-07 08:57:00,180,Tangara fastuosa,90.00,93.00,49.5
ABMI,1086-NE,2017-04-07 08:57:00,180,Alcedo atthis,93.00,96.00,60.1
ABMI,1086-NE,2017-04-07 08:57:00,180,Charadrius vociferus,123.00,126.00,43.6
ABMI,1086-NE,2017-04-09 08:52:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,12.00,15.00,43.3
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,45.00,48.00,58.9
ABMI,1086-NE,2017-04-10 08:49:00,180,Cathartes aura,51.00,54.00,41.5
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,54.00,57.00,61.7
ABMI,1086-NE,2017-04-10 08:49:00,180,Branta canadensis,60.00,63.00,51.8
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,60.00,63.00,50.1
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,63.00,66.00,62.1
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,66.00,69.00,60.5
ABMI,1086-NE,2017-04-10 08:49:00,180,Branta canadensis,66.00,69.00,43.0
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,90.00,93.00,59.6
ABMI,1086-NE,2017-04-10 08:49:00,180,Micrastur semitorquatus,96.00,99.00,45.4
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,108.00,111.00,46.7
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,135.00,138.00,42.6
ABMI,1086-NE,2017-04-10 08:49:00,180,Branta canadensis,135.00,138.00,51.5
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,138.00,141.00,50.2
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,165.00,168.00,52.1
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,168.00,171.00,64.5
ABMI,1086-NE,2017-04-10 08:49:00,180,Corvus corax,171.00,174.00,42.4
ABMI,1086-NE,2017-04-11 08:47:00,180,Anas platyrhynchos,54.00,57.00,46.1
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,75.00,78.00,51.3
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,84.00,87.00,58.7
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas rubripes,84.00,87.00,40.2
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,162.00,165.00,42.8
ABMI,1086-NE,2017-04-12 07:14:00,600,Chlorospingus canigularis,219.00,222.00,42.8
ABMI,1086-NE,2017-04-12 07:14:00,600,Chlorospingus flavopectus,219.00,222.00,48.3
ABMI,1086-NE,2017-04-12 07:14:00,600,Picumnus nebulosus,237.00,240.00,44.4
ABMI,1086-NE,2017-04-12 07:14:00,600,Junco hyemalis,246.00,249.00,49.6
ABMI,1086-NE,2017-04-12 07:14:00,600,Emberiza elegans,246.00,249.00,40.0
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,264.00,267.00,63.3
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,267.00,270.00,66.6
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,270.00,273.00,54.6
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,273.00,276.00,57.3
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,276.00,279.00,45.4
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,279.00,282.00,62.7
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas rubripes,279.00,282.00,44.5
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,285.00,288.00,41.5
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,396.00,399.00,41.6
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,405.00,408.00,40.9
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,408.00,411.00,53.6
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,411.00,414.00,50.8
ABMI,1086-NE,2017-04-12 07:14:00,600,Nucifraga caryocatactes,450.00,453.00,43.9
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,453.00,456.00,47.9
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,459.00,462.00,41.8
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas diazi,462.00,465.00,42.3
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,462.00,465.00,68.2
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,465.00,468.00,61.2
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,471.00,474.00,48.0
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,480.00,483.00,47.2
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,564.00,567.00,44.7
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,567.00,570.00,55.0
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,570.00,573.00,66.2
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,573.00,576.00,69.5
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,582.00,585.00,51.4
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,594.00,597.00,56.5
ABMI,1086-NE,2017-04-12 07:14:00,600,Anas platyrhynchos,597.00,600.00,61.1
ABMI,1086-NE,2017-04-12 08:44:00,180,Ramphastos dicolorus,75.00,78.00,40.1
ABMI,1086-NE,2017-04-12 08:44:00,180,Anas platyrhynchos,75.00,78.00,52.0
ABMI,1086-NE,2017-04-13 07:12:00,600,*NOT GENERATED/FOUND*,,,
ABMI,1086-NE,2017-04-14 08:40:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1086-NE,2017-04-15 08:37:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1086-NE,2017-04-16 07:05:00,600,Calyptorhynchus banksii,528.00,531.00,42.6
ABMI,1086-NE,2017-04-17 07:02:00,600,Ardea cinerea,222.00,225.00,45.9
ABMI,1086-NE,2017-04-17 07:02:00,600,Cygnus buccinator,279.00,282.00,47.3
ABMI,1086-NE,2017-04-17 07:02:00,600,Cygnus buccinator,312.00,315.00,41.5
ABMI,1086-NE,2017-04-17 07:02:00,600,Alcedo atthis,381.00,384.00,78.6
ABMI,1086-NE,2017-04-17 08:32:00,180,*NOT GENERATED/FOUND*,,,
ABMI,1086-NE,2017-04-18 07:00:00,600,Branta canadensis,480.00,483.00,41.1
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas rubripes,87.00,90.00,59.3
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas platyrhynchos,138.00,141.00,45.6
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas platyrhynchos,141.00,144.00,41.5
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas platyrhynchos,147.00,150.00,67.8
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas platyrhynchos,150.00,153.00,56.9
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas zonorhyncha,153.00,156.00,47.5
ABMI,1086-NE,2017-04-19 06:58:00,600,Anas platyrhynchos,153.00,156.00,58.6
ABMI,1086-NE,2017-04-19 06:58:00,600,Muscisaxicola maculirostris,225.00,228.00,60.3
ABMI,1086-NE,2017-04-19 06:58:00,600,Ptiliogonys caudatus,225.00,228.00,42.0
ABMI,1086-NE,2017-04-19 06:58:00,600,Branta canadensis,309.00,312.00,42.1
ABMI,1086-NE,2017-04-19 06:58:00,600,Branta canadensis,375.00,378.00,46.3
ABMI,1086-NE,2017-04-19 06:58:00,600,Branta canadensis,381.00,384.00,44.1
ABMI,1086-NE,2017-04-19 06:58:00,600,Branta canadensis,399.00,402.00,42.1
ABMI,1086-NE,2017-04-19 08:28:00,180,Anas rubripes,21.00,24.00,50.7
ABMI,1086-NE,2017-04-20 06:55:00,600,Anas platyrhynchos,84.00,87.00,43.1
ABMI,1086-NE,2017-04-20 06:55:00,600,Anas platyrhynchos,192.00,195.00,56.2
ABMI,1086-NE,2017-04-20 06:55:00,600,Anas platyrhynchos,195.00,198.00,52.5
ABMI,1086-NE,2017-04-20 06:55:00,600,Anas platyrhynchos,204.00,207.00,41.6
ABMI,1086-NE,2017-04-20 08:25:00,180,Anser albifrons,6.00,9.00,44.2
ABMI,1086-NE,2017-04-20 08:25:00,180,Anser albifrons,12.00,15.00,40.1
ABMI,1086-NE,2017-04-20 08:25:00,180,Anser albifrons,15.00,18.00,91.0
ABMI,1086-NE,2017-04-20 08:25:00,180,Anser albifrons,33.00,36.00,49.2
ABMI,1086-NE,2017-04-20 08:25:00,180,Anser albifrons,36.00,39.00,54.8
ABMI,1086-NW,2017-04-05 09:02:00,180,Branta canadensis,123.00,126.00,67.2
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,48.00,51.00,40.6
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,60.00,63.00,58.4
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,63.00,66.00,69.7
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,66.00,69.00,57.4
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,72.00,75.00,41.1
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,75.00,78.00,52.2
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,81.00,84.00,49.6
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,84.00,87.00,59.1
ABMI,1086-NW,2017-04-06 07:29:00,600,Branta canadensis,87.00,90.00,43.6
