organization,project_name,location,recording_date,method,status,observer,longitude,latitude,hide_location,buffer,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitatiohourly_wind_speed,hourly_visibility_km,hourly_station_pressuren_mm,hourly_wind_direction,hourly_wind_speed,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,left_rms_peak_dbfs,left_rms_trough_dbfs,left_pk_count,left_dc_offset,left_min_level,left_max_level,left_rms_peak_level_dbfs,right_rms_peak_dbfs,right_rms_trough_dbfs,right_pk_count,right_dc_offset,right_min_level,right_max_level,right_peak_level_dbfs,url,source_file_name,observer_id
ABMI,Zeller PIWO Density,15-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-111.907753,59.783935,"",5500m (Buffered location),FORT SMITH A,205.10m,26km,-24.80,-7.70,-16.30,0.00,0.00,0.00,11.00,FORT SMITH A,205.10m,26km,,,,,,,,,,,,Water,Wildlife Acoustics Inc+SM3(AU-117)@1.5m,-25.31,-31.05,2,0.037572,-0.021515,0.110046,-19.17,-25.75,-32.1,2,0.033143,-0.028381,0.109192,-19.24,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=572030,ABMI-0015-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,15-SE,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-111.907753,59.783935,"",5500m (Buffered location),FORT SMITH A,205.10m,26km,-24.80,-7.70,-16.30,0.00,0.00,0.00,11.00,FORT SMITH A,205.10m,26km,,,,,,,,,,,,Wet Margin Wetland,Wildlife Acoustics Inc+SM3(AU-107)@1.5m,-24.63,-34.95,2,0.02741,-0.054749,0.106964,-19.42,-22.17,-29.15,2,0.049788,-0.047577,0.143768,-16.85,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=608790,ABMI-0015-SE_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,235-NE,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-112.757271,58.367569,"",5500m (Buffered location),GARDEN RIVER,240.80m,75km,-19.30,-1.50,-10.40,,,,,SWEETGRASS LANDING,212.00m,69km,,,,,,,,,,,,"Clearing,Did Not Collect",Wildlife Acoustics Inc+SM3(AU-231)@1.5m,-19.43,-31.04,2,0.035755,-0.138733,0.204559,-13.78,-17.17,-29.12,2,0.043452,-0.178131,0.269928,-11.38,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=608975,ABMI-0235-NE_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,265-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-112.842941,58.207672,"",5500m (Buffered location),GARDEN RIVER,240.80m,82km,-19.30,-1.50,-10.40,,,,,GARDEN RIVER,240.80m,82km,,,,,,,,,,,,"Clearing,Wet Margin Wetland",Wildlife Acoustics Inc+SM3(AU-165)@1.5m,-26.56,-29.22,2,0.039896,0,0.074493,-22.56,-28.52,-30.57,2,0.033175,0,0.057251,-24.84,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=571271,ABMI-0265-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,266-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-112.512741,58.205688,"",5500m (Buffered location),GARDEN RIVER,240.80m,97km,-19.30,-1.50,-10.40,,,,,SWEETGRASS LANDING,212.00m,78km,,,,,,,,,,,,,Wildlife Acoustics Inc+SM3(AU-167)@1.5m,-27.91,-29.33,2,0.036779,-0.074677,0.20694,-13.68,-28.99,-30.35,2,0.031947,-0.097717,0.219147,-13.19,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=570662,ABMI-0266-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,294-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-113.233276,58.088268,"",5500m (Buffered location),GARDEN RIVER,240.80m,79km,-19.30,-1.50,-10.40,,,,,GARDEN RIVER,240.80m,79km,,,,,,,,,,,,,Wildlife Acoustics Inc+SM3(AU-169)@1.5m,-38.66,-47.74,2,0.005111,-0.074249,0.078979,-22.05,-34.74,-37.42,2,0.015803,-0.089935,0.114136,-18.85,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=571500,ABMI-0294-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,295-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-112.838333,58.055160,"",5500m (Buffered location),GARDEN RIVER,240.80m,95km,-19.30,-1.50,-10.40,,,,,GARDEN RIVER,240.80m,95km,,,,,,,,,,,,,Wildlife Acoustics Inc+SM3(AU-090)@1.5m,-25.59,-27.49,2,0.047536,-0.047485,0.159546,-15.94,-28.58,-30.35,2,0.033292,-0.087646,0.195312,-14.19,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=571606,ABMI-0295-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,2-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-112.202679,59.970813,"","",FORT SMITH A,205.10m,15km,-24.80,-7.70,-16.30,0.00,0.00,0.00,11.00,FORT SMITH A,205.10m,15km,,,,,,,,,,,,"Clearing,Game Trail",Wildlife Acoustics Inc+SM3(AU-247)@1.5m,-22.92,-38.39,2,0.022914,-0.088776,0.120941,-18.35,-20.13,-37.43,2,0.023923,-0.100891,0.180176,-14.89,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=571740,ABMI-0002-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,33-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-112.275978,59.646675,"",5500m (Buffered location),FORT SMITH A,205.10m,45km,-24.80,-7.70,-16.30,0.00,0.00,0.00,11.00,FORT SMITH A,205.10m,45km,,,,,,,,,,,,Clearing,Wildlife Acoustics Inc+SM3(AU-161)@1.5m,-25.7,-30.67,2,0.03729,-0.005402,0.089783,-20.94,-29.23,-39.77,2,0.01532,-0.033569,0.059021,-24.58,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=570871,ABMI-0033-NW_0+1_20150405_073300.wav,1881
ABMI,Zeller PIWO Density,359-NW,2015-04-05 07:33:00,60s None,Transcribed,Michel Vorasane,-111.054222,57.454883,"",5500m (Buffered location),MILDRED LAKE,310.00m,55km,-12.90,-2.50,-7.70,,,0.00,1.00,MILDRED LAKE,310.00m,55km,,,,,,,,,,,,Clearing,Wildlife Acoustics Inc+SM3(AU-315)@1.5m,-16.29,-38.94,2,0.011164,-0.440582,0.57196,-4.85,-18.59,-35.66,2,0.019146,-0.308197,0.418854,-7.56,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=570869,ABMI-0359-NW_0+1_20150405_073300.wav,1881
