organization,project_name,location,recording_date,method,status,observer_id,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,tag_duration_s,min_tag_freq,max_tag_freq,vocalization,abundance,tag_clip_status,clip_channel_used,verified_by,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,url
ABMI,Zeller PIWO Density,1033-NE,2020-04-05 07:31:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609426
ABMI,Zeller PIWO Density,1033-NE,2020-04-06 07:28:00,60s None,Transcribed,1881,Michel Vorasane,PIWO,Pileated Woodpecker,Aves,1,43.06,1.80,0.02kHz,4.68kHz,Non-vocal,1,"",1,,-30.33,-40.8,2,0.027998,-0.011566,0.052063,-25.67,-31.32,-41.71,3,-0.024945,-0.046539,0.011078,-26.64,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609428
ABMI,Zeller PIWO Density,1033-NE,2020-04-07 08:56:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609425
ABMI,Zeller PIWO Density,1033-NE,2020-04-08 08:54:00,60s None,Transcribed,1881,Michel Vorasane,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609427
ABMI,Zeller PIWO Density,1033-NE,2020-04-09 07:21:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,9.10,1.00,0.21kHz,3.15kHz,Non-vocal,1,"",1,,-30.38,-41.92,2,0.026889,-0.006866,0.044983,-26.94,-45.87,-53.92,2,-0.004366,-0.019257,0.008392,-34.31,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609430
ABMI,Zeller PIWO Density,1033-NE,2020-04-09 07:21:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,22.65,1.64,0.17kHz,3.39kHz,Non-vocal,1,"",1,,-29.93,-40.96,3,0.026581,-0.053314,0.054718,-25.24,-41.34,-51.28,4,-0.007098,-0.024689,0.018097,-32.15,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609430
ABMI,Zeller PIWO Density,1033-NE,2020-04-09 07:21:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,28.83,1.21,0.19kHz,2.73kHz,Non-vocal,1,"",1,,-30.61,-43.53,4,0.026834,-0.003998,0.039764,-28.01,-44.04,-54.88,3,-0.005641,-0.018127,0.003418,-34.83,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609430
ABMI,Zeller PIWO Density,1033-NE,2020-04-11 08:46:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609429
ABMI,Zeller PIWO Density,1033-NE,2020-04-12 07:14:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609432
ABMI,Zeller PIWO Density,1033-NE,2020-04-12 08:44:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609431
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 07:11:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,12.15,1.21,0.02kHz,3.65kHz,Non-vocal,1,"",1,,-29.85,-40.35,2,0.027458,-0.018951,0.052399,-25.61,-30.84,-41.26,3,-0.024464,-0.047241,0.017334,-26.51,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609435
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 08:41:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,22.80,2.99,0.17kHz,4.46kHz,Non-vocal,1,"",1,,-29.14,-42.86,2,0.027531,-0.009033,0.049927,-26.03,-40.5,-51.99,3,-0.007346,-0.030701,0.007111,-30.26,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609433
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 08:41:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,36.61,5.04,0.32kHz,4.40kHz,Non-vocal,1,"",1,,-30.23,-42.26,2,0.027502,-0.011658,0.045776,-26.79,-52.02,-57.86,2,-0.000848,-0.014771,0.010162,-36.61,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609433
ABMI,Zeller PIWO Density,1033-NE,2020-04-13 08:41:00,60s None,Transcribed,1881,Michel Vorasane,HAWO,Hairy Woodpecker,Aves,1,57.48,0.73,2.17kHz,4.81kHz,Non-vocal,1,"",1,,-30.4,-41.59,2,0.027363,-0.01062,0.045471,-26.85,-68.86,-72.85,3,-0.000001,-0.005859,0.00351,-44.64,,,,,,,,,,,,,,,t,https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609433
ABMI,Zeller PIWO Density,1033-NE,2020-04-14 08:39:00,60s None,Transcribed,1881,Michel Vorasane,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609434
ABMI,Zeller PIWO Density,1033-NE,2020-04-15 07:07:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609438
ABMI,Zeller PIWO Density,1033-NE,2020-04-15 08:37:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609436
ABMI,Zeller PIWO Density,1033-NE,2020-04-16 08:34:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609437
ABMI,Zeller PIWO Density,1033-NE,2020-04-18 07:00:00,60s None,New,841,Austin Zeller,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609439
ABMI,Zeller PIWO Density,1033-NE,2020-04-19 06:57:00,60s None,Transcribed,1881,Michel Vorasane,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=609440
ABMI,Zeller PIWO Density,1086-NE,2017-04-05 07:32:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632832
ABMI,Zeller PIWO Density,1086-NE,2017-04-05 09:02:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632712
ABMI,Zeller PIWO Density,1086-NE,2017-04-06 08:59:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632514
ABMI,Zeller PIWO Density,1086-NE,2017-04-07 08:57:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632750
ABMI,Zeller PIWO Density,1086-NE,2017-04-09 08:52:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632580
ABMI,Zeller PIWO Density,1086-NE,2017-04-10 08:49:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632940
ABMI,Zeller PIWO Density,1086-NE,2017-04-11 08:47:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632516
ABMI,Zeller PIWO Density,1086-NE,2017-04-12 07:14:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632840
ABMI,Zeller PIWO Density,1086-NE,2017-04-12 08:44:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632689
ABMI,Zeller PIWO Density,1086-NE,2017-04-13 07:12:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632769
ABMI,Zeller PIWO Density,1086-NE,2017-04-14 08:40:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632893
ABMI,Zeller PIWO Density,1086-NE,2017-04-15 08:37:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632625
ABMI,Zeller PIWO Density,1086-NE,2017-04-16 07:05:00,60s None,New,-1,Not Assigned,NONE,NONE,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://www.wildtrax.ca/home/aru-tasks/recording.html?taskId=632883
